Firstname,Lastname,Email,Phone,Address1,Address2,Address3,City,State,Zip,Country(Non Us)
Well Adjusted Chiro-Hixson,,paulmilesdc@gmail.com,(423) 531-3989,,,,,,,
Peak Family Health,,DrEricPeakFamilyHealth@gmail.com,(423) 475-5297,,,,,,,
Lookout Valley Chiropractic: Reed Kent DC,,lookoutvalleychiro@gmail.com,(423) 825-5252,,,,,,,
"Stephen S. Swann, DC, CCEP",,swannchiro@gmail.com,(423) 893-3300,,,,,,,
Ooltewah Chiropractic and Rehab,,info@ooltewahchiropractic.com,(423) 509-5100,,,,,,,
Pollard Clinic Pc,,thepollardclinic@att.net,(423) 877-3322,,,,,,,
Paxton Family Chiropractic Inc,,frontdeskpfc@gmail.com,(706) 935-3338,,,,,,,
Action Chiropractic,,drcasey88@comcast.net,(615) 356-4656,,,,,,,
Hendon Chiropractic & Wellness Center,,HendonChiropractic@Comcast.net,(615) 834-0110,,,,,,,
Power Chiropractic & Wellness,,pwrchirowellness@aol.com,(615) 227-5020,,,,,,,
Tennessee Chiropractic Association,,tca@tnchiro.com,(615) 383-6231,,,,,,,
East End Chiropractic,,info@eastendchiro.com,(615) 650-6533,,,,,,,
Vibrance Family Chiropractic,,mail@vibrancefamilychiropractic.com,(615) 915-1255,,,,,,,
Belle Meade Chiropractic Center,,louisdc@comcast.net,(615) 352-4455,,,,,,,
Davis Holistic Chiropractic Center,,assistance88@davisvitalhealthcenter.com,(615) 780-5927,,,,,,,
Dixon Center for Integrative Healthcare,,frontdesk2@dixoncenter.com,(615) 646-1003,,,,,,,
Donelson Chiropractic Clinic,,Donchiro936@gmail.com,(615) 889-1941,,,,,,,
Family Chiropractic,,info@bettfamilychiropractic.com,(615) 373-7009,,,,,,,
Kestner Family Chiropractic,,kestnerfamilychiropractic@gmail.com,(615) 646-6700,,,,,,,
Mitchell Chiropractic Clinic,,kmitch1040@aol.com,(615) 361-6502,,,,,,,
Dr. Scott Frasier,,frasiers2@yahoo.com,(615) 781-2225,,,,,,,
"3 Elements Chiropractic and Wellness, PLLC",,Support@3ECW.com,(615) 599-5333,,,,,,,
Cool Springs Chiropractic,,info@coolspringsfamilychiropractic.com,(615) 503-9900,,,,,,,
Jenkins Chiropractic,,info@JenkinsChiropracticonline.com,(615) 420-6622,,,,,,,
"Robert Mabry, DC",,art@tomshinness.com,(615) 255-7900,,,,,,,
Totty Chiropractic-Mt Juliet,,scheduling@tottychiro.com,(615) 758-7101,,,,,,,
Keith Graves DC: Graves Keith B DC,,info@drkeithgraves.com,(615) 383-9573,,,,,,,
Providence Chiropractic,,providencechiropractic@gmail.com,(615) 942-7282,,,,,,,
Art of Life Chiropractic,,artoflifechiropractic@gmail.com,(615) 819-0587,,,,,,,
Thomas Chiropractic,,docmt63@comcast.net,(615) 883-8555,,,,,,,
Crystal Chiropractic Center: Crystal Keith DC,,info@crystalchiro.com,(615) 822-1922,,,,,,,
Precision Care Chiropractic,,dr.zyla@precisioncarechiro.com,(615) 807-2682,,,,,,,
"Cutsinger Chiropractic, Inc.",,info@CutsingerChiropractic.com,(615) 778-4552,,,,,,,
Nashville Spine and Disc,,team@nashvillespineanddisc.com,(615) 601-1663,,,,,,,
Optimal Health Chiro Center,,office.ohcc@gmail.com,(615) 758-6422,,,,,,,
"Peter J. Hinz, DC",,info@hinzfamilychiro.com,(615) 503-9900,,,,,,,
Art of Health Chiropractic,,thedoctors@artofhealthchiro.com,(615) 953-7544,,,,,,,
Dr. Guin Bennett,,dr.guinbennett@hotmail.com,(615) 852-5518,,,,,,,
Smyrna Chiropractic,,info@smyrnachiropractic.com,(615) 220-6824,,,,,,,
Rankens Center,,info@therenkenscenter.com,(615) 915-3187,,,,,,,
Middle Tn Clinic of Chiro: Fortney Stephanie DC,,drsfortney@ymail.com,(615) 860-3660,,,,,,,
Middle Tennessee Center for Alternative Medicine,,DrCarolynMaxfield@gmail.com,(615) 656-3558,,,,,,,
"Michele Benoit, DC",,drmichelebenoit@yahoo.com,(615) 261-3152,,,,,,,
Major Family Chiropractic,,majorfamilychiro@gmail.com,(615) 927-4571,,,,,,,
New Life Chiro Maximized,,newlifechiro2@gmail.com,(615) 221-8033,,,,,,,
Woosley Chiropractic,,drwoosley@woosleychiro.com,(615) 859-6644,,,,,,,
Music City Chiropractic,,musiccitychiro@yahoo.com,(615) 239-8773,,,,,,,
Active Spine and Joint Center | Top Rated | Chiropractor,,office@activesjc.com,(615) 537-5520,,,,,,,
Stewart Chiropractic Center,,gostewarthealth@gmail.com,(615) 447-5088,,,,,,,
Footit to Health Value Chiropractic,,drryan@drryandc.com,(615) 346-9674,,,,,,,
Crist Chiropractic Franklin & Brentwood Chiropractor,,crist.chiropractic@comcast.net,(615) 771-0022,,,,,,,
Pence Chiropractic Center,,kim@pencechiropractic.com,(615) 794-3002,,,,,,,
Duensing Chiropractic Clinic,,larissa@dachiro.com,(615) 868-7676,,,,,,,
Smith Chiropractic & Rehabilitation,,smithchiropractictn@gmail.com,(615) 758-8560,,,,,,,
ChiroExpress,,drsilvey@chiroexpress.net,(615) 840-8308,,,,,,,
Mason Chiropractic Health & Wellness,,health@masonchiro.net,(615) 794-9155,,,,,,,
Belle Meade Chiropractic: Long Douglas DC,,louisdc@comcast.net,(615) 269-5558,,,,,,,
Stronghold Chiropractic,,strongholdchiropractic@gmail.com,(615) 730-8131,,,,,,,
"William C. Bearden, DC",,drcasey88@comcast.net,(615) 356-4656,,,,,,,
180 Chiropractic & Wellness Center,,info@180chiro.com,(615) 595-9063,,,,,,,
Legacy Chiropractic,,info@VibrantLegacy.com,(615) 905-8783,,,,,,,
Mid-South Chiropractic & Therapeutic Massage,,INFO@MIDSOUTHCHIROPRACTIC.COM,(662) 890-0012,,,,,,,
AlignLife - Chiropractic & Natural Health Center,,midtownmemphis@alignlife.com,(901) 324-3474,,,,,,,
Dynamic Chiropractic,,amorichiro@aol.com,(901) 757-8311,,,,,,,
Natural Potential Chiropractic,,natpotoffice@gmail.com,(901) 861-0716,,,,,,,
Midtown Chiropractic,,drlindseycarr@hotmail.com,(901) 726-4523,,,,,,,
Traylor Chiropractic Clinics,,appointments@traylorclinics.com,(870) 732-6494,,,,,,,
Memphis Chiropractic Neurology,,mcncordova@icloud.com,(901) 752-4300,,,,,,,
Back on Track Chiropractic,,bot@botchiropractic.com,(662) 890-6000,,,,,,,
Smith Chiropractic Clinic,,info@smithchiropracticcordova.com,(901) 794-0876,,,,,,,
"Mark E. Holliman, DC",,drmarkholliman@yahoo.com,(901) 821-9312,,,,,,,
Dynamic Chiropractic Spinal Health Care,,amorichiro@aol.com,(901) 757-8311,,,,,,,
Wootton Family Chiropractic,,woottonfamilychiro@gmail.com,(901) 207-3247,,,,,,,
Horn Lake Chiropractic Center,,info@minkschiro.com,(662) 342-5368,,,,,,,
"Dr. Stephanie Halcomb, Chiropractic Physician",,drhalcomb@tnscoliosis.com,(901) 651-7575,,,,,,,
Barnes Chiropractic,,barneschiro@aol.com,(901) 336-9456,,,,,,,
Regional Pain Center,,theteam@regionalpaincenter.com,(901) 800-1336,,,,,,,
DeSoto County Chiropractic,,chadhalldc@aol.com,(662) 393-4848,,,,,,,
Clarksville Chiropractic Center,,info@clarksvillechiropractic.com,(931) 647-3692,,,,,,,
Marathon Chiropractic,,rachel.maximizedliving@gmail.com,(931) 591-2010,,,,,,,
St Bethlehem Chiropractic Clinic,,stbchiro@bellsouth.net,(931) 645-9768,,,,,,,
Creative Chiropractic,,name@email.com,(931) 802-6596,,,,,,,
Murfreesboro Chiropractic Clinic,,drgordon@murfreesborochiropractic.com,(615) 849-9064,,,,,,,
Chiropractor Murfreesboro,,info@DrKestner.com,(615) 895-6899,,,,,,,
"Laser Therapy & Chiropractic Center, Inc",,drkellychiro@yahoo.com,(615) 217-8624,,,,,,,
Longie Chiropractic Center,,longiechiro@bellsouth.net,(615) 867-1144,,,,,,,
Revolution Chiropractic,,office@revolutionchiro.com,(615) 867-7693,,,,,,,
Morter Family Chiropractic,,info@MorterChiro.com,(615) 900-3770,,,,,,,
Healing Hands Low Force Chiropractic,,info@lowforcechiropractic.com,(615) 663-1049,,,,,,,
Allen Family Chiropractic,,allenfamilychiropractic@gmail.com,(615) 217-2345,,,,,,,
Middle Tennessee Spine and Joint Center LLC,,jhicks@midtnsjc.com,(615) 867-7782,,,,,,,
"Richard D. Allen, DC",,allenfamilychiropractic@gmail.com,(615) 217-2345,,,,,,,
Chiropractic Health & Rehabilitation of Murfreesboro,,Dr.JGonsowski@hotmail.com,(615) 624-9052,,,,,,,
Beel Chiropractic Center,,info@beelchiropractic.com,(615) 355-6186,,,,,,,
Smyrna tn chiropractor,,info@beelchiropractic.com,(615) 355-6186,,,,,,,
"Rock Springs Family Chiropractic, Maximized Living Health Clinic",,rockspringsfamilychiropractic@gmail.com,(615) 239-0907,,,,,,,
Advanced Care Chiropractic and Rehab,,advance_chiropractor@comcast.net,(423) 929-2225,,,,,,,
Collart Chiropractic,,info@collartchiro.com,(423) 854-8700,,,,,,,
Back To Health Chiropractic,,ADJSTR@YMAIL.COM,(423) 975-0099,,,,,,,
Spine & Sports Chiropractic,,petem@chiroliving.com,(423) 388-3643,,,,,,,
Life Expressions Chiropractic,,info@lifeexpressionschiropractic.com,(423) 282-5483,,,,,,,
Durham Chiropractic Clinic LLC,,info@drdurham.net,(731) 664-2929,,,,,,,
Brown & Williams Chiropractic Clinic,,dr.justinbrown@yahoo.com,(731) 668-3399,,,,,,,
Back Pain Relief Clinic,,support@nowyouknow.net,(731) 664-6998,,,,,,,
"Stephen C. Wilks, DC",,getwell@wilkschiropractic.com,(731) 664-5550,,,,,,,
Back Pain Relief Clinic South,,support@nowyouknow.net,(731) 935-0090,,,,,,,
Von Holtz Megan DC,,support@nowyouknow.net,(731) 935-0090,,,,,,,
Petway Britney DC,,support@nowyouknow.net,(731) 935-0090,,,,,,,
Fitch Brandon DC,,support@nowyouknow.net,(731) 935-0090,,,,,,,
Crist Chiropractic and Wellness,,crist.chiropractic@comcast.net,(615) 771-0022,,,,,,,
Reinarts Family Chiropractic,,drreinarts@gmail.com,(615) 538-6061,,,,,,,
Inspired Chiropractic,,inspiredchiropractic@yahoo.com,(615) 719-6131,,,,,,,
Unity Chiropractic,,unitychirotn@gmail.com,(615) 920-4550,,,,,,,
Healthways Inc,,info@healthways.com,(615) 614-4929,,,,,,,
Exodus Health Center,,office@exodushealthcenter.com,(615) 445-7701,,,,,,,
Tennessee Valley Orthopedics: Koenig Thomas M MD,,tvo@tvortho.com,(865) 966-7755,,,,,,,
Tri State Clinic North: Austin Amanda B DC,,tristatenorth@comcast.net,(423) 265-1366,,,,,,,
Signal Mountain Chiropractic,,signalmountainchiropractic@gmail.com,(423) 886-3330,,,,,,,
North Georgia Chiropractic,,chiroinfo@ngachiro.com,(706) 965-5777,,,,,,,
Arrowhead Clinic,,0C@Z.O,(800) 961-7246,,,,,,,
